,Res,ksStat,pValue
0,SMOTER_bin,0.08701847882755025,0.7332583215532449
1,SMOTER_bin_t,0.0983258993222499,0.5878761158327238
2,SMOTER_bin_r,0.13507501593002375,0.21511207260824672
3,SMOTER_bin_tr,0.1287145919017552,0.26287202871219506
4,GAN_CNN_e30,0.9568904593639576,6.6338232155416566e-74
5,GAN_CNN_e40,0.2843034903078356,0.00012228161898364937
6,GAN_FNN_e100,0.0835978605905118,0.7918571533513971
7,GAN_FNN_e110,0.09344734728586951,0.6738629009046565
8,SMOTER_regular,0.05985862535719657,0.9762244842385925
