,Res,ksStat,pValue
0,SMOTER_bin,0.10515915557706947,0.006589369676107927
1,SMOTER_bin_t,0.10663662418086163,0.005608939273056427
2,SMOTER_bin_r,0.13360042620006873,0.00019931056693173123
3,SMOTER_bin_tr,0.1345854052692635,0.00017392963890537145
4,GAN_CNN_e60,0.9197897462929864,5.779676750180892e-270
5,GAN_CNN_e70,0.3382105542650601,2.1958413710598158e-26
6,GAN_CNN_e110,0.0,1.0
7,GAN_FNN_e100,0.29085226311430884,1.5445321419480986e-17
8,GAN_FNN_e110,0.2797095218261699,8.94136207635552e-17
9,SMOTER_regular,0.10884012890832226,0.004391966693210198
