,Res,ksStat,pValue
0,SMOTER_bin,0.058357348703170026,0.924067176537837
1,SMOTER_bin_t,0.05757139114487818,0.9310558181975034
2,SMOTER_bin_r,0.07997118155619597,0.6341897039264124
3,SMOTER_bin_tr,0.07859575582918522,0.6553273568803333
4,GAN_CNN_e80,0.9365994236311239,3.991151639920825e-92
5,GAN_CNN_e110,0.9365994236311239,3.991151639920825e-92
6,GAN_FNN_e100,0.2170399824894207,0.0011357589366327114
7,GAN_FNN_e110,0.25725168940456455,4.655202915485131e-05
8,SMOTER_regular,0.04242969260954872,0.9968248499782804
