,Res,ksStat,pValue
0,SMOTER_bin,0.0876378274313051,0.00025580047185619017
1,SMOTER_bin_t,0.08789822149432047,0.00024253124709912194
2,SMOTER_bin_r,0.0876378274313051,0.00025580047185619017
3,SMOTER_bin_tr,0.0852942808641668,0.00041020875347016903
4,GAN_CNN_e0,0.062391090415956606,0.1538868378079535
5,GAN_CNN_e10,0.939030081917411,0.0
6,GAN_FNN_e0,0.08524998237862583,0.00046633072872220404
7,GAN_FNN_e10,0.1983879444523054,2.87616438055593e-20
8,SMOTER_regular,0.01847998379495519,0.9869842098899324
