,Res,ksStat,pValue
0,SMOTER_bin,0.08591860412711143,0.004188963163023052
1,SMOTER_bin_t,0.08278028222074049,0.0065099745355070345
2,SMOTER_bin_r,0.11186645650146589,5.821014280795178e-05
3,SMOTER_bin_tr,0.11249625874356187,5.174091302494725e-05
4,GAN_CNN_e40,0.916902216557212,6.2e-322
5,GAN_CNN_e50,0.9102734035090964,7e-322
6,GAN_CNN_e110,0.0,1.0
7,GAN_FNN_e100,0.23155470722246166,6.83800174006569e-20
8,GAN_FNN_e110,0.18897325583604005,2.2403057053046869e-13
9,SMOTER_regular,0.05159254163699591,0.21334963287556982
