,Res,ksStat,pValue
0,SMOTER_bin,0.0907374434815632,0.00013209696821006275
1,SMOTER_bin_t,0.08949658343813727,0.00017150979773260412
2,SMOTER_bin_r,0.08647492824256897,0.0003190565072992814
3,SMOTER_bin_tr,0.08647492824256897,0.0003190565072992814
4,GAN_CNN_e0,0.91170327235901,0.0
5,GAN_CNN_e10,0.9470764522795885,0.0
6,GAN_CNN_e20,0.2218148425277192,5.896590630017978e-18
7,GAN_CNN_e30,0.0,1.0
8,GAN_CNN_e40,0.0,1.0
9,GAN_CNN_e50,0.0,1.0
10,GAN_CNN_e60,0.0,1.0
11,GAN_CNN_e70,0.0,1.0
12,GAN_CNN_e80,0.9472443220126756,0.0
13,GAN_CNN_e90,0.9472443220126756,0.0
14,GAN_FNN_e0,0.08397388616285092,0.0005934909987721751
15,GAN_FNN_e10,0.17648227343523137,3.9953289961751396e-16
16,GAN_FNN_e20,0.27213037897827275,3.0518591298225165e-38
17,GAN_FNN_e30,0.37942350410568704,2.6980946339451355e-75
18,GAN_FNN_e40,0.47748544941818954,7.739734008295925e-122
19,GAN_FNN_e50,0.5601517657223435,5.1489961799187906e-172
20,GAN_FNN_e60,0.5919952060075765,2.703379654507328e-194
21,GAN_FNN_e70,0.5359143583945731,3.0777967332864814e-156
22,GAN_FNN_e80,0.3716366656935537,3.7708364571055475e-72
23,GAN_FNN_e90,0.22375373156593267,1.1831473944892387e-25
24,SMOTER_regular,0.018537221673358473,0.9864121820056163
